affy_probe_id	GSM528691_IFNb18hr_1	GSM528692_IFNb18hr_2	GSM528749_media18hr_1	GSM528750_media18hr_2
201594_s_at	830.5512093	823.7830103	841.6064996	764.5213054
201595_s_at	341.2115636	330.5772587	341.9213458	336.4165927
201596_x_at	1813.00121	1708.788204	2070.505878	2276.820392
201597_at	1566.381411	1713.369359	1681.168715	1624.524073
201598_s_at	20.03035666	22.99946077	20.11863178	19.44935039
201599_at	1618.125294	1853.027653	2142.403263	2003.119578
201600_at	1481.609818	1564.392817	1726.594757	1547.149063
201601_x_at	6163.136914	5434.398652	131.9089657	122.0176291
201602_s_at	86.43374623	69.6483308	111.4168194	124.1088297
201603_at	103.4070724	157.6083313	147.174943	167.5258876
201604_s_at	59.34306799	65.10682831	71.69238563	73.98789297
201605_x_at	148.2504602	119.347724	212.9298336	190.5682385
201606_s_at	661.8795802	631.5279264	661.5793508	698.0184769
201607_at	136.6187576	144.3047476	147.8509839	143.351524
201608_s_at	325.8008123	358.780892	368.1831513	390.4279875
201609_x_at	218.3221171	192.9577893	271.6404217	247.1880658
201610_at	6.386960774	6.894781789	6.002919131	6.142544522
201611_s_at	56.50592703	64.1539454	72.36806947	71.84260383
201612_at	476.7865379	469.9778135	531.8310676	494.9153787
201613_s_at	73.9306863	54.15924319	75.87408826	65.47690198
201614_s_at	348.6172711	432.0200854	345.3314804	302.1462281
201615_x_at	126.4548536	110.0256383	182.0606409	214.2886847
201616_s_at	318.882624	337.2916913	328.8355781	406.0398744
201617_x_at	300.4978588	335.1210991	296.9950869	263.7694964
201618_x_at	56.43225077	38.75514589	51.40134656	52.54853062
201619_at	1084.093918	1191.010116	1017.45258	1032.564531
201620_at	94.5161243	87.71696212	85.08923586	71.06368728
201621_at	72.17698432	72.15966893	73.15677951	67.98119394
201622_at	259.6993611	243.8009957	341.543034	257.7274111
201623_s_at	1421.863731	1455.362456	1458.001517	1351.597473
201624_at	204.304884	230.2671807	266.2116846	313.304205
201625_s_at	106.0891472	108.8991667	124.6617409	122.7422698
201626_at	498.80415	557.8013306	501.8154679	583.4438285
201627_s_at	228.3677933	240.3242844	236.1611694	244.9790171
201628_s_at	470.3525887	557.9353452	589.5035449	518.9859748
201629_s_at	328.2329323	325.6242952	295.0231155	326.4183851
201630_s_at	332.9448174	365.2927245	314.0867323	295.8516053
201631_s_at	2426.038904	2313.605362	2639.889252	2900.005063
201632_at	323.0803485	318.0517236	295.9845858	297.6276502
201633_s_at	163.0345755	189.623935	158.4280669	158.9584856
201634_s_at	99.76969697	113.2759701	114.8950486	99.92442907
201635_s_at	445.0761754	413.8932293	421.4081111	416.190812
201636_at	152.8634608	202.3467448	197.3463172	186.6923193
201637_s_at	613.4104567	701.7155196	647.0696337	676.2802212
201638_s_at	9.971317062	8.687334058	9.180242045	8.963064687
201639_s_at	69.09152222	58.32906322	64.18218605	66.52771681
201640_x_at	24.88701376	21.98995051	33.41274143	27.23474206
201641_at	566.8326032	764.7324329	10.29605076	12.50522389
201642_at	270.4885717	275.7291491	263.2532666	270.4120339
